timestamp,node_id,count,temperature,humidity
2025-06-20 16:39:19,0,159,31.22,31.59
2025-06-20 16:39:19,178,52,31.4,31.38
2025-06-20 16:39:26,178,61,31.1,30.89
2025-06-20 16:39:26,0,168,31.19,30.89
2025-06-20 16:39:46,178,62,31.5,30.96
2025-06-20 16:39:47,0,169,31.16,30.81
2025-06-20 16:40:07,178,63,31.5,30.92
2025-06-20 16:40:07,0,170,31.19,30.81
2025-06-20 16:40:27,178,64,31.5,30.85
2025-06-20 16:40:27,0,171,31.19,30.81
2025-06-20 16:40:47,178,65,31.2,30.74
2025-06-20 16:40:48,0,172,31.19,30.92
2025-06-20 16:41:07,178,66,31.1,30.64
2025-06-20 16:41:08,0,173,31.19,30.71
2025-06-20 16:41:28,178,67,30.98,30.6
2025-06-20 16:41:28,0,174,31.22,31.3
2025-06-20 16:41:48,178,68,31.0,30.67
2025-06-20 16:41:48,0,175,31.22,31.3
2025-06-20 16:42:08,178,69,30.98,30.71
2025-06-20 16:42:09,0,176,31.19,30.96
2025-06-20 16:42:29,178,70,31.1,30.74
2025-06-20 16:42:29,0,177,31.2,30.96
2025-06-20 16:42:49,178,71,31.5,30.67
2025-06-20 16:42:49,0,178,31.23,30.99
2025-06-20 16:43:09,178,72,31.1,30.67
2025-06-20 16:43:10,0,179,31.2,30.96
2025-06-20 16:43:30,178,73,31.1,30.74
2025-06-20 16:43:30,0,180,31.23,31.3
2025-06-20 16:43:50,178,74,31.1,30.67
2025-06-20 16:43:50,0,181,31.19,31.3
2025-06-20 16:44:10,178,75,31.1,30.67
2025-06-20 16:44:11,0,182,31.15,31.6
2025-06-20 16:44:30,178,76,31.4,30.64
2025-06-20 16:44:31,0,183,31.18,31.13
2025-06-20 16:44:51,178,77,31.2,30.78
2025-06-20 16:44:51,0,184,31.15,30.96
2025-06-20 16:45:11,178,78,31.2,30.74
2025-06-20 16:45:12,0,185,31.18,31.3
2025-06-20 16:45:31,178,79,31.1,30.78
2025-06-20 16:45:32,0,186,31.16,30.99
2025-06-20 16:45:52,178,80,30.98,30.78
2025-06-20 16:45:52,0,187,31.19,31.3
2025-06-20 16:46:12,178,81,30.98,30.74
2025-06-20 16:46:12,0,188,31.19,31.1
2025-06-20 16:46:32,178,82,30.98,30.67
